category,iccs_section,keyword
Intentional homicide / planning,1,murder
Intentional homicide / planning,1,homicide
Intentional homicide / planning,1,fatal attack
Intentional homicide / planning,1,killing of
Intentional homicide / planning,1,murder case
Intentional homicide / planning,1,court heard
Intentional homicide / planning,1,court documents
Intentional homicide / planning,1,prosecutors described
Intentional homicide / planning,1,evidence showed
Intentional homicide / planning,1,timeline
Intentional homicide / planning,1,surveillance video
Intentional homicide / planning,1,phone records
Intentional homicide / planning,1,text messages
Intentional homicide / planning,1,planned
Intentional homicide / planning,1,plot
Intentional homicide / planning,1,lured
Intentional homicide / planning,1,ambush
Intentional homicide / planning,1,crime scene
Intentional homicide / planning,1,forensic evidence
Intentional homicide / planning,1,medical examiner
Intentional homicide / planning,1,cause of death
Intentional homicide / planning,1,attempted murder
Intentional homicide / planning,1,attempted homicide
Intentional homicide / planning,1,attempted killing
Intentional homicide / planning,1,survived attack
Intentional homicide / planning,1,murder plot
Intentional homicide / planning,1,planned murder
Intentional homicide / planning,1,conspiracy to murder
Intentional homicide / planning,1,murder-for-hire
Intentional homicide / planning,1,planned attack
Kidnapping & extortion,2,kidnapping
Kidnapping & extortion,2,abduction
Kidnapping & extortion,2,hostage
Kidnapping & extortion,2,held captive
Kidnapping & extortion,2,ransom demand
Kidnapping & extortion,2,court heard
Kidnapping & extortion,2,court documents
Kidnapping & extortion,2,prosecutors described
Kidnapping & extortion,2,evidence showed
Kidnapping & extortion,2,lured
Kidnapping & extortion,2,threatened
Kidnapping & extortion,2,text messages
Kidnapping & extortion,2,phone records
Kidnapping & extortion,2,messages showed
Kidnapping & extortion,2,according to investigators
Kidnapping & extortion,2,scheme involved
Kidnapping & extortion,2,prosecutors said the scheme
Kidnapping & extortion,2,case details
Kidnapping & extortion,2,timeline
Kidnapping & extortion,2,extortion
Kidnapping & extortion,2,blackmail
Kidnapping & extortion,2,sextortion
Kidnapping & extortion,2,extortion scheme
Kidnapping & extortion,2,ransom plot
Kidnapping & extortion,2,threats to release
Robbery & burglary,4,robbery
Robbery & burglary,4,armed robbery
Robbery & burglary,4,carjacking
Robbery & burglary,4,bank robbery
Robbery & burglary,4,robbery case
Robbery & burglary,4,court heard
Robbery & burglary,4,court documents
Robbery & burglary,4,prosecutors described
Robbery & burglary,4,evidence showed
Robbery & burglary,4,forced entry
Robbery & burglary,4,broke into
Robbery & burglary,4,entered through
Robbery & burglary,4,surveillance video
Robbery & burglary,4,brandished
Robbery & burglary,4,threatened
Robbery & burglary,4,surveillance footage
Robbery & burglary,4,getaway vehicle
Robbery & burglary,4,crime scene
Robbery & burglary,4,security footage
Robbery & burglary,4,timeline
Robbery & burglary,4,case details
Robbery & burglary,4,burglary
Robbery & burglary,4,breaking and entering
Robbery & burglary,4,home invasion
Robbery & burglary,4,residential burglary
Drug trafficking & distribution,6,drug trafficking
Drug trafficking & distribution,6,drug smuggling
Drug trafficking & distribution,6,trafficking network
Drug trafficking & distribution,6,drug trafficking ring
Drug trafficking & distribution,6,narcotics operation
Drug trafficking & distribution,6,court documents
Drug trafficking & distribution,6,prosecutors described
Drug trafficking & distribution,6,evidence showed
Drug trafficking & distribution,6,according to prosecutors
Drug trafficking & distribution,6,distribution network
Drug trafficking & distribution,6,drug ring
Drug trafficking & distribution,6,conspiracy involved
Drug trafficking & distribution,6,text messages
Drug trafficking & distribution,6,encrypted messages
Drug trafficking & distribution,6,phone records
Drug trafficking & distribution,6,messages showed
Drug trafficking & distribution,6,operation involved
Drug trafficking & distribution,6,scheme involved
Drug trafficking & distribution,6,prosecutors said the operation
Drug trafficking & distribution,6,case details
Drug trafficking & distribution,6,drug distribution
Drug trafficking & distribution,6,drug supply
Drug trafficking & distribution,6,drug conspiracy
Drug trafficking & distribution,6,controlled substances
"Fraud (investment, romance, BEC)",7,investment fraud
"Fraud (investment, romance, BEC)",7,investment scam
"Fraud (investment, romance, BEC)",7,Ponzi scheme
"Fraud (investment, romance, BEC)",7,cryptocurrency fraud
"Fraud (investment, romance, BEC)",7,securities fraud
"Fraud (investment, romance, BEC)",7,court documents
"Fraud (investment, romance, BEC)",7,prosecutors described
"Fraud (investment, romance, BEC)",7,evidence showed
"Fraud (investment, romance, BEC)",7,according to prosecutors
"Fraud (investment, romance, BEC)",7,scheme involved
"Fraud (investment, romance, BEC)",7,prosecutors said the scheme
"Fraud (investment, romance, BEC)",7,fraud scheme
"Fraud (investment, romance, BEC)",7,case details
"Fraud (investment, romance, BEC)",7,victims were told
"Fraud (investment, romance, BEC)",7,promised returns
"Fraud (investment, romance, BEC)",7,fake investment
"Fraud (investment, romance, BEC)",7,false claims
"Fraud (investment, romance, BEC)",7,wire transfers
"Fraud (investment, romance, BEC)",7,bank records
"Fraud (investment, romance, BEC)",7,money was transferred
"Fraud (investment, romance, BEC)",7,funds were moved
"Fraud (investment, romance, BEC)",7,romance fraud
"Fraud (investment, romance, BEC)",7,romance scam
"Fraud (investment, romance, BEC)",7,dating scam
"Fraud (investment, romance, BEC)",7,online romance scam
"Fraud (investment, romance, BEC)",7,fake relationship
"Fraud (investment, romance, BEC)",7,business email compromise
"Fraud (investment, romance, BEC)",7,BEC fraud
"Fraud (investment, romance, BEC)",7,BEC scam
"Fraud (investment, romance, BEC)",7,wire fraud scheme
"Fraud (investment, romance, BEC)",7,email fraud
