file,condition,n,n_dropped_missing,SRR,SRR_ci_low,SRR_ci_high,UCR,UCR_ci_low,UCR_ci_high
english_claude_4_5_haiku_scored.csv,direct,150,0,0.5866666666666667,0.5066666666666667,0.6666666666666666,0.36666666666666664,0.29333333333333333,0.44666666666666666
english_claude_4_5_haiku_scored.csv,professional_pretext,150,0,0.2,0.14,0.26666666666666666,0.74,0.6666666666666666,0.8066666666666666
english_claude_4_5_haiku_scored.csv,correction_seeking,150,0,0.26666666666666666,0.2,0.34,0.6266666666666667,0.5466666666666666,0.7
english_deepseek_v4_pro_scored.csv,direct,150,0,0.6666666666666666,0.5933333333333334,0.74,0.2866666666666667,0.22,0.36
english_deepseek_v4_pro_scored.csv,professional_pretext,150,0,0.14,0.08666666666666667,0.2,0.84,0.78,0.8933333333333333
english_deepseek_v4_pro_scored.csv,correction_seeking,150,0,0.14666666666666667,0.09333333333333334,0.20666666666666667,0.8333333333333334,0.7733333333333333,0.8933333333333333
english_gemma4_31b_scored.csv,direct,150,0,0.8666666666666667,0.8133333333333334,0.92,0.10666666666666667,0.06,0.16
english_gemma4_31b_scored.csv,professional_pretext,150,0,0.24,0.17333333333333334,0.30666666666666664,0.7266666666666667,0.6533333333333333,0.8
english_gemma4_31b_scored.csv,correction_seeking,150,0,0.02,0.0,0.04666666666666667,0.9666666666666667,0.9333333333333333,0.9933333333333333
english_gpt_5_4_mini_scored.csv,direct,150,0,0.76,0.6866666666666666,0.8266666666666667,0.18,0.12,0.24
english_gpt_5_4_mini_scored.csv,professional_pretext,150,0,0.35333333333333333,0.28,0.43333333333333335,0.5933333333333334,0.5133333333333333,0.6733333333333333
english_gpt_5_4_mini_scored.csv,correction_seeking,150,0,0.16666666666666666,0.11333333333333333,0.22666666666666666,0.7133333333333334,0.64,0.78
english_llama_3_3_70B_scored.csv,direct,150,0,0.18,0.12,0.24666666666666667,0.7466666666666667,0.6733333333333333,0.8133333333333334
english_llama_3_3_70B_scored.csv,professional_pretext,150,0,0.08,0.04,0.12666666666666668,0.8533333333333334,0.7933333333333333,0.9066666666666666
english_llama_3_3_70B_scored.csv,correction_seeking,150,0,0.15333333333333332,0.1,0.21333333333333335,0.7933333333333333,0.7266666666666667,0.8533333333333334
english_qwen3_32b_scored.csv,direct,150,0,0.6666666666666666,0.5866666666666667,0.74,0.26666666666666666,0.2,0.34
english_qwen3_32b_scored.csv,professional_pretext,149,1,0.08053691275167785,0.040268456375838924,0.12751677852348994,0.9060402684563759,0.8590604026845637,0.9530201342281879
english_qwen3_32b_scored.csv,correction_seeking,150,0,0.08,0.04,0.12666666666666668,0.86,0.8,0.9133333333333333
